            lead_box  |                root  |            lead box container  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  |7070702   |                 Box  |                                 1.05*cm 1.416025404*cm 2*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |                flux  |                flux  |                           lead manual 0 
      core_100000000  |            lead_box  |                   0 0 fiber a  |                        -1*cm -1.366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100000000 
      core_100000001  |            lead_box  |                   0 1 fiber a  |                       -1*cm -1.0928203232*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100000001 
      core_100000002  |            lead_box  |                   0 2 fiber a  |                       -1*cm -0.8196152424*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100000002 
      core_100000003  |            lead_box  |                   0 3 fiber a  |                       -1*cm -0.5464101616*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100000003 
      core_100000004  |            lead_box  |                   0 4 fiber a  |                       -1*cm -0.2732050808*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100000004 
      core_100000005  |            lead_box  |                   0 5 fiber a  |                                   -1*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100000005 
      core_100000006  |            lead_box  |                   0 6 fiber a  |                        -1*cm 0.2732050808*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100000006 
      core_100000007  |            lead_box  |                   0 7 fiber a  |                        -1*cm 0.5464101616*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100000007 
      core_100000008  |            lead_box  |                   0 8 fiber a  |                        -1*cm 0.8196152424*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100000008 
      core_100000009  |            lead_box  |                   0 9 fiber a  |                        -1*cm 1.0928203232*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100000009 
      core_100000010  |            lead_box  |                  0 10 fiber a  |                         -1*cm 1.366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100000010 
